Datu kopa,Iestāde,Pievienots,Atjaunots,Atjaunošanas biežums
Iepirkumu publikāciju statistika par piegādātāju valstisko piederību,Iepirkumu uzraudzības birojs,2018-09-14,2024-10-28,reizi gadā
Publisko iepirkumu publikāciju rādītāji - gadi,Iepirkumu uzraudzības birojs,2018-09-20,2024-10-28,reizi gadā
Iepirkumu publikāciju statistika par vides aizsardzības prasībām,Iepirkumu uzraudzības birojs,2018-09-14,2024-10-28,reizi gadā
Publisko iepirkumu likuma publikāciju rādītāji - TOP,Iepirkumu uzraudzības birojs,2017-09-25,2024-10-28,reizi trīs mēnešos
Oficiālās statistikas portāls,Centrālā statistikas pārvalde,2018-01-26,2024-08-19,pastāvīgi
Eiropas Komisijas pārraudzības ziņojumi,Iepirkumu uzraudzības birojs,2018-04-18,2024-07-03,reizi trīs gados
Publisko iepirkumu likuma pārskati,Iepirkumu uzraudzības birojs,2017-06-07,2024-06-07,reizi gadā
Sabiedrisko pakalpojumu sniedzēju iepirkumu likuma pārskati,Iepirkumu uzraudzības birojs,2017-07-14,2024-06-07,reizi gadā
Aizsardzības un drošības jomas iepirkumu likuma pārskati,Iepirkumu uzraudzības birojs,2017-08-29,2024-06-07,reizi gadā
Pakalpojumu kataloga pakalpojumu skaits iestāžu griezumā,Valsts digitālās attīstības aģentūra,2020-04-14,2024-01-18,reizi mēnesī
14. Saeimas vēlēšanas sv2022,Centrālā vēlēšanu komisija,2023-03-07,2023-03-08,nekad
Meža zemju īpašnieku zemes vienību ģeotelpiskie dati,AS “Latvijas valsts meži”,2017-09-12,2023-02-01,reizi nedēļā
Iestāžu mobilās lietotnes,Vides aizsardzības un reģionālās attīstības ministrija,2020-09-17,2023-01-13,reizi gadā
Valsts informācijas sistēmu reģistrs (vēsturiskie dati par 2019. gadu),Vides aizsardzības un reģionālās attīstības ministrija,2017-07-12,2023-01-13,nekad
Valsts informācijas sistēmu reģistrs - slēgtās sistēmas (vēsturiskie dati...,Vides aizsardzības un reģionālās attīstības ministrija,2018-02-26,2023-01-13,nekad
Latvijas PSR Augstākās Padomes/Latvijas Republikas Augstākās Padomes sēžu...,Latvijas Nacionālais arhīvs,2022-12-13,2022-12-13,neregulāri
Latvijas Valsts Prezidenta kancelejas video kolekcija (1994-2015),Latvijas Nacionālais arhīvs,2022-12-08,2022-12-12,neregulāri
Latvijas Republikas Saeimas video kolekcija (1995-2006),Latvijas Nacionālais arhīvs,2022-12-08,2022-12-12,neregulāri
Valsts fondēto pensiju shēma,Valsts sociālās apdrošināšanas aģentūra,2018-09-18,2022-06-28,reizi mēnesī
"Valsts informācijas sistēmas, valsts informācijas resursi un IKT...",Vides aizsardzības un reģionālās attīstības ministrija,2020-09-02,2022-05-11,reizi mēnesī
VSAA administrētās pensijas un pabalsti,Valsts sociālās apdrošināšanas aģentūra,2018-09-18,2022-02-15,reizi mēnesī
VPVKAC klientu aptauju datufaili,Vides aizsardzības un reģionālās attīstības ministrija,2018-01-31,2022-02-11,reizi gadā
Valsts iestāžu un pašvaldību e-indekss,Vides aizsardzības un reģionālās attīstības ministrija,2018-01-31,2022-02-11,neregulāri
Valsts iestāžu pakalpojumu vērtējums: Latvijas iedzīvotāju aptauju datufaili,Vides aizsardzības un reģionālās attīstības ministrija,2018-02-05,2022-02-11,reizi gadā
Rīgas pašvaldības finansējuma izlietojums skolēnu ēdināšanai,Rīgas dome,2017-08-03,2021-08-27,katru dienu
Iestāžu tīmekļvietnes,Vides aizsardzības un reģionālās attīstības ministrija,2020-09-17,2020-09-17,reizi gadā
EIROPAS PARLAMENTA VĒLĒŠANAS 2019,Centrālā vēlēšanu komisija,2020-06-10,2020-06-10,nekad
Valsts informācijas sistēmas VIRSIS IKT pārvaldības terminu saraksts,Vides aizsardzības un reģionālās attīstības ministrija,2019-10-29,2020-05-12,reizi mēnesī
Valsts iestāžu ERAF IKT projektu ietvaros publicējamo datu kopu saraksts,Vides aizsardzības un reģionālās attīstības ministrija,2017-11-29,2020-02-11,nekad
Vides aizsardzības un reģionālās attīstības ministrijas finanšu kontroles...,Vides aizsardzības un reģionālās attīstības ministrija,2020-01-24,2020-02-10,reizi gadā
Eiropas Savienības struktūrfondu un Kohēzijas fonda 2007. – 2013. gada...,Finanšu ministrija,2018-07-05,2019-10-07,katru dienu
Eiropas Savienības struktūrfondu un Kohēzijas fonda 2014. – 2020. gada...,Finanšu ministrija,2018-07-05,2019-10-07,katru dienu
Domes sēžu darba kārtības,Olaines novada pašvaldība,2019-04-30,2019-05-03,reizi mēnesī
13.Saeimas vēlēšanas,Centrālā vēlēšanu komisija,2019-02-19,2019-02-19,nekad
2011. gada tautas nobalsošanas par 10.Saeimas atlaišanu rezultāti,Centrālā vēlēšanu komisija,2019-02-04,2019-02-04,nekad
2012. gada tautas nobalsošanas par likumprojekta “Grozījumi Latvijas...,Centrālā vēlēšanu komisija,2019-02-04,2019-02-04,nekad
2017. gada republikas pilsētas domes un novada domes vēlēšanu rezultāti un...,Centrālā vēlēšanu komisija,2018-06-26,2018-06-26,nekad
2014. gada 12.Saeimas vēlēšanu rezultāti un vēlētāju aktivitāte,Centrālā vēlēšanu komisija,2018-06-26,2018-06-26,nekad
